x,y,x-<x>,y-<y>,(x-<x>)(y-<y>),(x-ave(x))^2,(x-ave(y))^2,,,MEAN,0.911,373.125
0.032,170,-0.88,-203.13,178.62,0.77,41259.77,,,STD,0.645,371.255
0.034,290,-0.88,-83.13,72.93,0.77,6909.77,,,VAR,0.417,137830.027
0.214,-130,-0.7,-503.13,350.87,0.49,253134.77,,,n,24,
0.263,-70,-0.65,-443.13,287.31,0.42,196359.77,,,"COV(X,Y)",189.232,
0.275,-185,-0.64,-558.13,355.18,0.4,311503.52,,,beta_1,454.158,
0.275,-220,-0.64,-593.13,377.45,0.4,351797.27,,,beta_0,-40.784,
0.45,200,-0.46,-173.13,79.88,0.21,29972.27,,,"CORR(X,Y)",0.79,
0.5,290,-0.41,-83.13,34.2,0.17,6909.77,,,R^2,0.624,
0.5,270,-0.41,-103.13,42.42,0.17,10634.77,,,,,
0.63,200,-0.28,-173.13,48.71,0.08,29972.27,,,,,
0.8,300,-0.11,-73.13,8.14,0.01,5347.27,,,,,
0.9,-30,-0.01,-403.13,4.59,0,162509.77,,,,,
0.9,650,-0.01,276.88,-3.15,0,76659.77,,,,,
0.9,150,-0.01,-223.13,2.54,0,49784.77,,,,,
0.9,500,-0.01,126.88,-1.44,0,16097.27,,,,,
1,920,0.09,546.88,48.47,0.01,299072.27,,,,,
1.1,450,0.19,76.88,14.5,0.04,5909.77,,,,,
1.1,500,0.19,126.88,23.93,0.04,16097.27,,,,,
1.4,500,0.49,126.88,61.99,0.24,16097.27,,,,,
1.7,960,0.79,586.88,462.82,0.62,344422.27,,,,,
2,500,1.09,126.88,138.12,1.19,16097.27,,,,,
2,850,1.09,476.88,519.14,1.19,227409.77,,,,,
2,800,1.09,426.88,464.71,1.19,182222.27,,,,,
2,1090,1.09,716.88,780.41,1.19,513909.77,,,,,
